"ID","Machine ID","Machine Name","Status","Operation Type","Speed (RPM)","Feed Rate","Temperature","X","Y","Z","Program Name","Timestamp","Date/Time"
"8ba96935-7c6b-49d9-a524-ebf5f0720454","CNC-001","Haas VF-2","idle","Threading","40","193.5","22.6","10.02","72.18","10.74","PART_003.nc","1765063239590","2025-12-06T23:20:39.590Z"
"c1dd4dba-9954-49d2-ab99-520d4a0bdcc0","CNC-002","DMG Mori NLX2500","running","Turning","3952","123.3","44.9","-100.34","-3.35","121.11","PART_003.nc","1765063179581","2025-12-06T23:19:39.581Z"
"819e62d8-6fde-45ec-b83e-729af1e22c11","CNC-003","Mazak Integrex i-200","maintenance","Turning","178","186.8","28.2","-106.2","-92.97","-15.07","SHAFT_TURN.nc","1765063119573","2025-12-06T23:18:39.573Z"
"41002f1e-3457-4ce1-9d83-2cff07b760c5","CNC-004","Okuma MB-5000H","error","Drilling","453","129.2","21.6","-135.14","-66.85","-31.06","PART_001.nc","1765063059565","2025-12-06T23:17:39.565Z"
"c0e6d63b-d01d-49a2-aa27-6fbb402b9a30","CNC-005","Fanuc Robodrill","error","Milling","156","86","23.1","-39.47","-149.49","146.36","SHAFT_TURN.nc","1765062999556","2025-12-06T23:16:39.556Z"
"96d332c5-2671-4a18-bf5a-bc3390dd876e","CNC-005","Fanuc Robodrill","maintenance","Drilling","486","67.6","24.6","132.29","139.63","105.84","PART_002.nc","1765062939547","2025-12-06T23:15:39.547Z"
"eecd00c1-caf2-4163-9085-cdf3903f1b23","CNC-005","Fanuc Robodrill","idle","Boring","401","86.1","26.5","45.39","-96.67","128.55","ENGINE_BLOCK.nc","1765062879539","2025-12-06T23:14:39.539Z"
"a1fa68a8-a6ec-438e-9295-36c34b4f1304","CNC-005","Fanuc Robodrill","maintenance","Threading","128","156.5","24.8","-68.39","-108.96","19.52","PART_003.nc","1765062819531","2025-12-06T23:13:39.531Z"
"a38fa5a4-c800-4775-a523-35f8ac559d76","CNC-001","Haas VF-2","idle","Milling","440","144.5","28.4","93.54","4.79","81.97","ENGINE_BLOCK.nc","1765062759523","2025-12-06T23:12:39.523Z"
"457595bd-d8e0-42c4-b3eb-f6b106878eb3","CNC-001","Haas VF-2","error","Drilling","388","115.4","20.2","-21.22","-8.08","114.01","ENGINE_BLOCK.nc","1765062699514","2025-12-06T23:11:39.514Z"
"d4050e62-4f88-4450-9703-f9b8d29085f8","CNC-001","Haas VF-2","error","Milling","66","152.8","23.4","35.96","-66.45","78.05","PART_001.nc","1765062639506","2025-12-06T23:10:39.506Z"
"6f4c6d7b-5edd-4887-9d4a-cac1b3bf81aa","CNC-005","Fanuc Robodrill","maintenance","Drilling","76","115.7","20.5","133.46","133.66","30.86","SHAFT_TURN.nc","1765062579497","2025-12-06T23:09:39.497Z"
"21f2e7c5-85f1-4d52-b6f2-ab132a3a6fee","CNC-001","Haas VF-2","maintenance","Turning","193","164.7","29.5","-149.91","-143.77","-45.58","PART_002.nc","1765062519489","2025-12-06T23:08:39.489Z"
"1b519824-d820-4d77-8c91-639b78e39224","CNC-002","DMG Mori NLX2500","running","Drilling","3104","167.9","52.5","129.9","-43","-48.5","PART_003.nc","1765062459480","2025-12-06T23:07:39.480Z"
"8c6c2e65-6432-44ec-8266-2c5f9e9c224e","CNC-003","Mazak Integrex i-200","error","Threading","131","120.4","24.1","-130.87","-83.74","3.37","PART_001.nc","1765062399472","2025-12-06T23:06:39.472Z"
"4f6bc934-8e0a-4f94-b14e-9f9471bb0ca5","CNC-001","Haas VF-2","error","Drilling","275","158.9","28.2","-1.04","-145.91","-6.57","SHAFT_TURN.nc","1765062339464","2025-12-06T23:05:39.464Z"
"0f18016e-6403-4b10-908b-e5eb585b6698","CNC-005","Fanuc Robodrill","error","Threading","281","50.9","25.2","-59.46","89.96","-32.11","PART_001.nc","1765062279455","2025-12-06T23:04:39.455Z"
"a69ec72a-21ff-41b9-bb6e-b9af52cc6fd1","CNC-005","Fanuc Robodrill","running","Boring","3707","116.3","49","-11.5","123.08","-43.52","PART_002.nc","1765062219447","2025-12-06T23:03:39.447Z"
"74b3b0a2-0346-4129-b554-08eadc5f12fb","CNC-001","Haas VF-2","idle","Drilling","97","128.6","24.1","-37.45","-80.28","50.23","PART_001.nc","1765062159439","2025-12-06T23:02:39.439Z"
"235dedaf-b64a-4ea5-b400-8d53d6a747f9","CNC-005","Fanuc Robodrill","running","Threading","3983","185.9","50.3","110.43","56.52","63.67","PART_001.nc","1765062099431","2025-12-06T23:01:39.431Z"
"6c2fd676-e2db-4d42-8bfa-bd73948ec03d","CNC-001","Haas VF-2","error","Turning","461","75.6","20.1","29.51","66.87","62.85","SHAFT_TURN.nc","1765062039424","2025-12-06T23:00:39.424Z"
"dc7e6c77-e1a9-42dc-b9ee-b2cd555b32ca","CNC-003","Mazak Integrex i-200","error","Drilling","396","169.3","27.9","-58.91","-108.66","-38.12","SHAFT_TURN.nc","1765061979415","2025-12-06T22:59:39.415Z"
"4fda667a-3e64-40aa-adf6-e84a1fcf1911","CNC-004","Okuma MB-5000H","idle","Milling","343","180.9","28.5","-51.66","-119.46","44.81","PART_002.nc","1765061919407","2025-12-06T22:58:39.407Z"
"0d2f7dba-30c9-4cef-a95b-fd96c0d34b28","CNC-005","Fanuc Robodrill","idle","Turning","460","69.1","25.7","32.94","-11.13","81.4","SHAFT_TURN.nc","1765061859399","2025-12-06T22:57:39.399Z"
"5bef1b6d-fe04-42bb-a26f-874108cc060a","CNC-005","Fanuc Robodrill","idle","Turning","382","51.3","26","43.92","137.92","141.69","PART_003.nc","1765061799391","2025-12-06T22:56:39.391Z"
"ecdfa336-9bd7-488d-a339-052af1d4a11a","CNC-001","Haas VF-2","idle","Boring","365","103.6","23.4","-105.68","-94.37","-27.72","SHAFT_TURN.nc","1765061739384","2025-12-06T22:55:39.384Z"
"bd7dc59f-d68b-430f-bc34-b7b10676af06","CNC-001","Haas VF-2","idle","Boring","423","190.7","24.8","-119.1","-7.79","55.44","SHAFT_TURN.nc","1765061679376","2025-12-06T22:54:39.376Z"
"58980759-720f-41e1-b23b-ca1ae813219c","CNC-004","Okuma MB-5000H","maintenance","Drilling","488","55.5","20.3","-98.95","71.55","4.83","PART_001.nc","1765061619368","2025-12-06T22:53:39.368Z"
"0fa1f42a-a4b7-4e5f-8f15-ce1c7240e690","CNC-005","Fanuc Robodrill","running","Threading","3681","166.1","50","-0.54","32.8","-31.16","PART_002.nc","1765061559360","2025-12-06T22:52:39.360Z"
"b4fbb710-5ac4-4f2e-9896-12df7843362a","CNC-005","Fanuc Robodrill","idle","Boring","255","77.3","22.8","84.53","-132.47","120.82","PART_002.nc","1765061499353","2025-12-06T22:51:39.353Z"
"5bac5c14-4fe9-4b7a-a310-6b9e958bb87b","CNC-001","Haas VF-2","running","Drilling","3843","139.1","46.1","90.83","38.38","82.77","ENGINE_BLOCK.nc","1765061439345","2025-12-06T22:50:39.345Z"
"f56e0a21-61a0-4d28-8446-d6be577bf509","CNC-001","Haas VF-2","running","Turning","4493","116","45","-66.95","1.36","129.2","SHAFT_TURN.nc","1765061379337","2025-12-06T22:49:39.337Z"
"a1fb8c14-6f70-4b1f-901b-3167b221b1c0","CNC-003","Mazak Integrex i-200","error","Drilling","390","58.8","24.1","-81.09","-0.02","69.37","ENGINE_BLOCK.nc","1765061319328","2025-12-06T22:48:39.328Z"
"f480ed34-273e-42d8-b632-99a001bd277b","CNC-003","Mazak Integrex i-200","maintenance","Milling","256","199.9","26","148.68","-118.18","-40.63","SHAFT_TURN.nc","1765061259321","2025-12-06T22:47:39.321Z"
"7f6c91a5-66c0-4464-8857-fce446783a40","CNC-001","Haas VF-2","idle","Turning","147","111.9","21.3","141.51","-16.93","-8.68","SHAFT_TURN.nc","1765061199313","2025-12-06T22:46:39.313Z"
"261c9cf4-07f5-4bd3-b4ec-ef6dd91cfd62","CNC-001","Haas VF-2","running","Milling","3827","89.2","46.4","126.59","147.66","42.55","PART_001.nc","1765061139305","2025-12-06T22:45:39.305Z"
"955cd53c-cf56-4acc-9aed-0c98ae6e4def","CNC-001","Haas VF-2","running","Turning","2692","115","48.6","64.19","-1.9","133.85","SHAFT_TURN.nc","1765061079296","2025-12-06T22:44:39.296Z"
"736763f3-280d-419d-af86-7d93f2aa06bf","CNC-003","Mazak Integrex i-200","maintenance","Boring","43","161.5","28.6","47.16","-6.44","71.33","PART_001.nc","1765061019288","2025-12-06T22:43:39.288Z"
"531fc2f4-1f4a-4c2f-ad57-05841366b5bf","CNC-004","Okuma MB-5000H","running","Drilling","3197","154.6","55","-21.92","-52.98","-10.12","PART_001.nc","1765060959280","2025-12-06T22:42:39.280Z"
"e2b0054b-bc0d-413a-b304-8193e8fb6268","CNC-002","DMG Mori NLX2500","maintenance","Threading","148","121","29.3","126.15","32.68","-41.66","ENGINE_BLOCK.nc","1765060899270","2025-12-06T22:41:39.270Z"
"84ee3170-a476-4bc0-b9e7-3da8edd56321","CNC-002","DMG Mori NLX2500","error","Drilling","376","60.3","22.2","111.41","-22.37","77.29","PART_003.nc","1765060839262","2025-12-06T22:40:39.262Z"
"37f5e63c-7764-4533-9f06-ba84094fc960","CNC-004","Okuma MB-5000H","maintenance","Turning","411","160.7","20.8","16.15","91.21","51.59","PART_003.nc","1765060779253","2025-12-06T22:39:39.253Z"
"0d7f68fe-c24c-4575-b04f-f50afabbd0f6","CNC-002","DMG Mori NLX2500","error","Milling","72","82.1","23.2","-117.13","51.96","54.31","PART_002.nc","1765060719245","2025-12-06T22:38:39.245Z"
"ab88ac93-3527-4a5a-9929-f22987915aef","CNC-004","Okuma MB-5000H","running","Boring","2891","84.3","51.1","-61.9","118","129.77","PART_003.nc","1765060659238","2025-12-06T22:37:39.238Z"
"e3b2780b-70d2-41c1-b53d-58bdacbc19b6","CNC-003","Mazak Integrex i-200","running","Boring","4260","190.5","49","-52.44","-8.31","109.97","PART_001.nc","1765060599230","2025-12-06T22:36:39.230Z"
"7c1e28ea-913a-44d6-8cbd-afe833eb5ea0","CNC-003","Mazak Integrex i-200","error","Turning","306","101","27","58.57","64.94","93.08","ENGINE_BLOCK.nc","1765060539221","2025-12-06T22:35:39.221Z"
"29582176-822c-4058-bb8f-978f2ac2e517","CNC-003","Mazak Integrex i-200","error","Drilling","147","56.5","23.8","-13.86","-18.81","5.6","PART_003.nc","1765060479213","2025-12-06T22:34:39.213Z"
"6b0e207c-27d4-4daf-b901-79dfb4b0e2aa","CNC-004","Okuma MB-5000H","error","Drilling","67","141.5","24.7","148.33","59.96","69.86","PART_001.nc","1765060419205","2025-12-06T22:33:39.205Z"
"7ad25ec3-cac9-45d1-887a-8e77c4412ca9","CNC-005","Fanuc Robodrill","maintenance","Threading","309","168.7","23.4","-28.81","134.06","48.94","SHAFT_TURN.nc","1765060359197","2025-12-06T22:32:39.197Z"
"e6f80c94-1784-4256-8965-25639dcf59d1","CNC-003","Mazak Integrex i-200","maintenance","Drilling","212","87.8","21.7","-135.77","-57.97","113.38","PART_002.nc","1765060299188","2025-12-06T22:31:39.188Z"
"07a74707-b0e5-42f8-9af1-883ec899de3c","CNC-003","Mazak Integrex i-200","idle","Drilling","49","124.9","26.3","-130.87","-136.15","133.38","SHAFT_TURN.nc","1765060239180","2025-12-06T22:30:39.180Z"
"061ff9b8-75a8-4ac1-abc3-f98d2994abe1","CNC-002","DMG Mori NLX2500","error","Turning","465","163.5","21.1","-135.23","-90.04","-40.56","PART_003.nc","1765060179173","2025-12-06T22:29:39.173Z"
"063cc4f7-61b9-4f59-907c-2b39208ebfa9","CNC-003","Mazak Integrex i-200","running","Boring","2842","155.7","40.9","-4.85","-11.61","-48.21","PART_001.nc","1765060119164","2025-12-06T22:28:39.164Z"
"5fd9f39f-0a3b-4123-985b-a40c8d5b2eb5","CNC-001","Haas VF-2","error","Boring","419","104.2","23.2","27.05","-47.33","97.06","PART_003.nc","1765060059156","2025-12-06T22:27:39.156Z"
"f8086cde-0900-4aaf-8f5f-9d450bba6f21","CNC-005","Fanuc Robodrill","maintenance","Threading","224","66.5","24.7","-109.17","-16.84","28.55","PART_002.nc","1765059999148","2025-12-06T22:26:39.148Z"
"ddb045d0-8411-41b1-b2ca-c61a41b3a506","CNC-005","Fanuc Robodrill","idle","Boring","346","128","22.3","-34.23","-87.45","63.47","PART_003.nc","1765059939141","2025-12-06T22:25:39.141Z"
"8165f2ee-8354-4fc8-be3a-77569a34f326","CNC-005","Fanuc Robodrill","maintenance","Turning","27","174.6","29.1","-88.3","-85.1","101.88","PART_001.nc","1765059879133","2025-12-06T22:24:39.133Z"
"0584ec31-7302-41c3-ba3c-704f5526a189","CNC-001","Haas VF-2","error","Drilling","73","55.9","21.2","-105.43","-6.54","73.69","PART_003.nc","1765059819124","2025-12-06T22:23:39.124Z"
"a38ee7a2-23de-44ec-bf98-9edc44a018b4","CNC-003","Mazak Integrex i-200","idle","Milling","53","121.1","26.8","106.74","-28.38","30.18","ENGINE_BLOCK.nc","1765059759116","2025-12-06T22:22:39.116Z"
